kit_number,pos,fullname,total_apps,total_goals,yellows,reds
1,GK,David de Gea,37,0,0,0
2,DF,Victor Lindelof,25(2),0,3,0
3,DF,Eric Bailly,6(1),0,1,0
4,DF,Phil Jones,1(1),0,0,0
5,DF,Harry Maguire (c),30(1),2,9,1
6,MF,Paul Pogba,18(5),1,7,1
6,MF,Daniel James,2,0,0,0
7,FW,Cristiano Ronaldo,29(3),18,6,0
8,MF,Juan Mata,2(3),0,0,0
9,FW,Anthony Martial,4(7),1,0,0
10,FW,Marcus Rashford,15(11),5,3,0
11,FW,Mason Greenwood,20(4),6,2,0
13,GK,Lee Grant,0,0,0,0
14,MF,Jesse Lingard,3(16),2,1,0
15,MF,Andreas Pereira,0,0,0,0
16,FW,Amad Diallo,1,0,0,0
17,MF,Fred,27(4),3,8,0
18,MF,Bruno Fernandes,34(3),9,7,0
19,DF,Raphael Varane,21(3),0,1,0
20,DF,Diogo Dalot,16(6),0,4,0
21,FW,Edinson Cavani,7(10),2,1,0
22,GK,Tom Heaton,0(1),0,0,0
23,DF,Luke Shaw,25(1),0,10,0
25,FW,Jadon Sancho,23(10),5,0,0
26,GK,Dean Henderson,3,0,0,0
27,DF,Alex Telles,15(3),1,2,0
28,MF,Facundo Pellistri,0,0,0,0
29,DF,Aaron Wan-Bissaka,23(1),0,2,1
30,GK,Nathan Bishop,0,0,0,0
31,MF,Nemanja Matic,12(12),0,4,0
33,DF,Brandon Williams,0,0,0,0
34,MF,Donny van de Beek,4(10),1,1,0
36,FW,Anthony Elanga,8(10),3,0,0
37,MF,James Garner,0,0,0,0
38,DF,Axel Tuanzebe,0,0,0,0
39,MF,Scott McTominay,29(2),2,9,0
43,DF,Teden Mengi,0(1),0,0,0
44,FW,Tahith Chong,0,0,0,0
46,MF,Hannibal Mejbri,0,0,0,0
47,FW,Shola Shoretire,0(1),0,1,0
72,MF,Charlie Savage,0(1),0,0,0
73,MF, Zidane Iqbal,0(1),0,0,0
